Autoenc1,Autoenc2,Churn,Cluster
0.0,0.0,1,3
9.577601,1.5689483,0,0
0.0,0.0,1,3
9.577601,1.5689483,0,0
9.294269,1.4495096,0,0
8.975519,1.3151407,0,0
0.0,0.0,1,3
0.0,0.0,1,3
9.577601,1.5689483,0,0
9.542185,1.5540185,0,0
9.542185,1.5540185,0,0
9.08177,1.3599305,0,0
9.400518,1.4942989,0,0
9.435935,1.5092292,0,0
9.577601,1.5689483,0,0
8.7630205,1.2255616,0,0
0.0,0.0,1,3
9.188019,1.4047203,0,0
9.577601,1.5689483,0,0
8.940104,1.300211,0,0
9.365102,1.4793692,0,0
9.577601,1.5689483,0,0
9.542185,1.5540185,0,0
9.577601,1.5689483,0,0
0.0,0.0,1,3
9.471352,1.524159,0,0
8.373438,1.0613337,0,0
9.506768,1.5390887,0,0
9.506768,1.5390887,0,0
10.312492,0.0,0,0
9.577601,1.5689483,0,0
9.542185,1.5540185,0,0
9.365102,1.4793692,0,0
9.294269,1.4495096,0,0
9.152602,1.38979,0,0
7.806773,0.8224559,0,0
9.365102,1.4793692,0,0
9.400518,1.4942989,0,0
9.400518,1.4942989,0,0
9.329685,1.4644394,0,0
7.983856,0.8971052,0,0
9.542185,1.5540185,0,0
9.117186,1.3748603,0,0
9.577601,1.5689483,0,0
9.506768,1.5390887,0,0
8.86927,1.2703514,0,0
9.152602,1.38979,0,0
9.542185,1.5540185,0,0
9.258852,1.4345798,0,0
0.0,0.0,1,3
0.0,0.0,1,3
9.223435,1.4196501,0,0
9.577601,1.5689483,0,0
9.506768,1.5390887,0,0
9.506768,1.5390887,0,0
0.0,0.0,1,3
0.0,0.0,1,3
9.028546,0.0,0,0
9.506768,1.5390887,0,0
9.010937,1.3300705,0,0
9.435935,1.5092292,0,0
9.365102,1.4793692,0,0
9.436474,0.0,0,0
9.152603,1.38979,0,0
0.0,0.0,1,3
9.610479,0.0,0,0
6.319278,0.19540167,0,0
0.0,0.0,1,3
9.010937,1.3300705,0,0
0.0,0.0,1,3
0.0,0.0,1,3
8.940104,1.300211,0,0
9.577601,1.5689483,0,0
9.365102,1.4793692,0,0
9.542185,1.5540185,0,0
9.08177,1.3599305,0,0
8.529755,0.0,0,0
9.577601,1.5689483,0,0
0.0,0.0,1,3
0.0,0.0,1,3
9.400518,1.4942989,0,0
9.506768,1.5390887,0,0
9.435935,1.5092292,0,0
9.223435,1.4196501,0,0
0.0,0.0,1,3
0.0,0.0,1,3
9.400518,1.4942989,0,0
