TSNE1,TSNE2,Churn,Cluster
-29.073532,75.616104,1,2
-66.87597,-13.541986,0,0
-29.073532,75.616104,1,2
-66.87597,-13.541986,0,0
-72.49494,-29.986067,0,1
-68.59993,-37.878506,0,1
-29.073532,75.616104,1,2
-29.073532,75.616104,1,2
-66.87597,-13.541986,0,0
-68.30017,-15.670845,0,0
-68.30017,-15.670845,0,0
-70.38621,-36.234898,0,1
-72.313385,-25.011663,0,0
-71.73989,-23.162119,0,0
-68.26926,-12.629943,0,0
-67.21106,-40.63315,0,1
-29.073532,75.616104,1,2
-71.6374,-33.55044,0,1
-68.26926,-12.629943,0,0
-69.14617,-38.959877,0,1
-72.56737,-26.854092,0,0
-68.26926,-12.629943,0,0
-69.30204,-15.230487,0,0
-67.01633,-12.348811,0,0
-29.073532,75.616104,1,2
-70.82412,-21.046465,0,0
-66.15846,-43.220303,0,1
-70.649605,-17.798054,0,0
-70.649605,-17.798054,0,0
-0.925333,-119.140785,0,1
-67.01633,-12.348811,0,0
-68.30017,-15.670845,0,0
-72.56737,-26.854092,0,0
-72.49494,-29.986067,0,1
-71.090195,-34.48068,0,1
-46.832104,-92.341736,0,1
-72.56737,-26.854092,0,0
-72.313385,-25.011663,0,0
-72.313385,-25.011663,0,0
-72.6187,-28.518156,0,1
-46.967377,-92.25673,0,1
-68.30017,-15.670845,0,0
-70.35059,-35.184677,0,1
-67.01633,-12.348811,0,0
-69.49063,-17.786556,0,0
-68.62295,-40.011486,0,1
-71.090195,-34.48068,0,1
-69.30204,-15.230487,0,0
-72.45827,-31.344246,0,1
-29.073532,75.616104,1,2
-29.073532,75.616104,1,2
-71.798706,-32.466217,0,1
-67.01633,-12.348811,0,0
-70.0617,-18.678999,0,0
-70.0617,-18.678999,0,0
-29.073532,75.616104,1,2
-29.073532,75.616104,1,2
-18.816181,-113.852196,0,1
-70.0617,-18.678999,0,0
-69.85053,-37.732754,0,1
-71.73989,-23.162119,0,0
-72.56737,-26.854092,0,0
-3.7647052,-121.29766,0,1
-71.090195,-34.48068,0,1
-29.073532,75.616104,1,2
-18.36602,-114.77695,0,1
-23.333952,-91.917305,0,1
-29.073532,75.616104,1,2
-69.85053,-37.732754,0,1
-30.288408,76.6258,1,2
-30.288408,76.6258,1,2
-69.14617,-38.959877,0,1
-67.01633,-12.348811,0,0
-72.56737,-26.854092,0,0
-69.30204,-15.230487,0,0
-70.38621,-36.234898,0,1
-27.661375,-112.90382,0,1
-68.26926,-12.629943,0,0
-29.073532,75.616104,1,2
-29.073532,75.616104,1,2
-72.313385,-25.011663,0,0
-69.83652,-17.617197,0,0
-71.73989,-23.162119,0,0
