Dimension 1,Dimension 2,Cluster
-118.22638,20.592857,1
-61.36936,11.712335,1
-118.22638,20.592857,1
-103.07228,24.626757,1
-28.302464,-70.895584,3
-38.94094,-29.036598,1
-118.22638,20.592857,1
-118.22638,20.592857,1
-72.52726,40.21658,1
14.519806,-84.0427,3
-6.8743486,66.551704,2
-6.353915,59.87861,2
-38.220734,46.535046,2
-74.12635,-17.843828,1
-64.36402,6.8740177,1
37.124878,4.150869,0
-118.22638,20.592857,1
-36.019867,76.88075,2
-77.78724,40.958122,1
64.818665,18.293772,0
-46.696495,-41.17243,1
-117.23151,19.569298,1
-75.431335,-24.175634,1
-97.030304,33.160664,1
-118.22638,20.592857,1
-34.736668,-29.872604,1
12.809124,49.920288,2
-69.96679,-0.37406272,1
-60.722683,11.57549,1
37.91531,31.58944,0
-73.65416,40.720165,1
-71.04251,-1.4348215,1
-25.612316,1.9650139,1
-37.607506,-9.180595,1
-9.933755,72.1592,2
34.263905,-51.574135,3
-8.088936,69.31252,2
-42.106777,63.978367,2
-59.942635,10.64755,1
-7.521496,8.245336,2
89.20982,26.738726,0
-89.339745,39.313007,1
-45.67254,62.229534,2
-76.08428,40.970707,1
-73.74289,-11.03645,1
-27.44032,-65.82008,3
-23.781427,9.449105,2
-71.69956,-2.4334657,1
4.629816,-59.160946,3
-118.22638,20.592857,1
-118.22638,20.592857,1
-36.724735,35.475605,2
-79.54763,41.107445,1
-33.40117,-26.973278,1
-46.55904,-42.96787,1
-118.22638,20.592857,1
-118.22638,20.592857,1
18.26527,42.30771,2
-75.305305,-23.928083,1
-10.921799,60.39106,2
-32.730602,-20.408888,1
-6.3301334,62.53667,2
43.453705,-12.697497,0
-0.58265746,-91.809586,3
-118.22638,20.592857,1
7.7362895,-27.846395,3
102.00919,-22.948725,0
-118.22638,20.592857,1
16.825394,-30.696648,3
-118.22638,20.592857,1
-118.22638,20.592857,1
-34.996265,-1.222566,1
-66.609184,35.841713,1
-3.3031263,44.540077,2
-46.717224,-43.206577,1
-26.789587,-50.889576,3
59.36177,28.467577,0
-70.39885,-0.23373441,1
-118.22638,20.592857,1
-118.56159,19.991392,1
-25.76473,1.3999791,1
-35.69097,38.578587,2
-69.42688,38.83928,1
-17.432364,78.309845,2
-118.22638,20.592857,1
-118.22638,20.592857,1
-38.00824,-34.29955,1
-45.933365,-42.922276,1
-35.49306,78.28827,2
-27.613771,-65.38576,3
-30.591436,2.3119097,1
-118.22638,20.592857,1
-61.00406,27.948956,1
-22.963886,-79.320984,3
20.031544,-22.777122,3
-77.05415,40.944023,1
36.19058,38.581852,2
-75.28623,-24.16873,1
-62.72761,27.201628,1
-22.735182,-78.12909,3
62.461033,-15.541508,0
-10.450242,-75.623726,3
-4.0245147,50.04545,2
37.168976,-57.909374,3
-32.724392,75.41996,2
-84.51865,40.97653,1
-24.63992,4.4259095,1
-35.706715,-25.02525,1
-72.27967,-33.482643,1
80.056145,-22.647387,0
-28.102648,34.4298,2
-105.29148,-1.0836952,1
-118.56159,19.991392,1
-5.7212963,22.261345,2
13.312561,34.220768,2
-43.452087,63.950924,2
10.786522,35.750854,2
-24.741074,-44.552246,3
-73.57453,-15.984316,1
-45.53776,55.003582,2
-20.295027,21.91429,2
-46.599903,-42.987156,1
-8.25627,-13.850995,3
-67.61761,36.484394,1
-45.55185,51.43634,2
-118.22638,20.592857,1
7.8070436,60.116684,2
-21.30892,10.138377,2
59.62404,-53.378788,3
-98.047646,31.634872,1
-20.06394,6.6890297,2
-24.95281,19.302687,2
-118.22638,20.592857,1
37.498215,-42.025528,3
-12.934778,-35.445816,3
-34.63302,-28.419943,1
-45.33277,55.929523,2
-86.64493,40.322773,1
-67.06417,36.2054,1
11.546993,26.342838,2
-118.22638,20.592857,1
-37.3773,38.307053,2
-20.650402,80.80109,2
-118.22638,20.592857,1
7.0939255,-37.557037,3
5.644984,-64.60793,3
12.802761,9.03319,2
-25.15608,-43.436836,3
10.370656,57.868576,2
-43.22561,63.90914,2
8.634242,-36.9075,3
-118.56159,19.991392,1
-96.19901,34.062534,1
-27.575893,-64.10845,3
-32.027878,35.680786,2
-27.443932,-64.34639,3
-118.22638,20.592857,1
-69.928,-34.496258,1
-4.7649136,-5.0141454,3
14.984713,-26.025095,3
9.908844,57.896652,2
-2.5008264,14.003804,2
11.152527,-81.91299,3
-58.116425,-45.16571,1
-60.35887,11.242153,1
-59.380768,-41.68114,1
-10.642235,-90.27901,3
-16.66041,-84.63984,3
-4.9782376,-0.24389048,2
-6.7375784,35.658882,2
-60.986027,20.18944,1
-118.22638,20.592857,1
-2.0335634,0.43494323,2
-6.3470554,60.360462,2
-17.673304,-86.890945,3
-10.619759,57.42171,2
-33.072636,-24.802149,1
-44.742615,40.21268,2
-118.22638,20.592857,1
-118.22638,20.592857,1
-31.33043,35.550125,2
43.306686,52.887856,2
21.275288,-23.032936,3
11.554035,-45.98871,3
82.07653,44.426228,0
32.63655,-43.429234,3
62.813908,26.711988,0
-107.349014,-0.5372004,1
85.58219,9.591223,0
-18.132795,78.41615,2
-67.30607,36.073986,1
-26.015717,74.29729,2
74.88936,50.362885,0
60.9223,0.046997637,0
57.94655,29.785788,0
2.816016,-27.80627,3
45.185635,-58.096027,3
66.97697,8.459946,0
-67.041405,35.06118,1
-5.7458777,-5.2925262,3
-47.281807,-43.277004,1
-3.4683762,48.751144,2
11.787042,-82.9679,3
25.536942,71.91295,2
-29.40991,-54.981182,3
-28.261278,33.827053,2
13.362173,-85.307884,3
-20.864927,81.02571,2
-24.41671,-42.25291,3
-61.660973,29.095158,1
-23.321894,-79.20241,3
-13.831045,-25.344975,3
19.007557,-25.492037,3
-33.888073,-27.22898,1
12.829352,48.339462,2
-32.840553,-1.7409513,1
-96.81619,33.03932,1
-5.0762715,-76.72301,3
-87.65847,38.481632,1
-97.3848,32.457386,1
-33.663055,36.8748,2
64.36802,-31.439774,0
-93.62115,36.421604,1
39.305313,-2.1104376,0
-72.74543,-22.541512,1
62.011852,-54.662872,3
42.470387,-22.770678,0
14.745107,68.35974,2
61.632164,-53.482803,3
-48.797085,-41.527588,1
50.582825,-61.703724,3
-7.9905944,-14.909497,3
-6.6934857,-5.115738,3
36.491722,26.847929,0
13.082933,50.248806,2
-7.1462293,8.840228,2
23.691498,-6.3584576,0
15.118658,54.297455,2
-17.827284,71.0852,2
43.41458,53.02123,2
77.01976,47.814983,0
15.389535,-79.1447,3
-7.897831,-85.86233,3
4.743142,-56.58036,3
-5.116715,36.357456,2
18.23703,16.200296,2
62.623573,20.164196,0
62.909615,-4.067734,0
79.26088,-14.078468,0
-107.34933,-0.5385356,1
-60.05525,18.338886,1
-100.6764,26.715458,1
38.545685,42.79123,2
-76.90332,40.547417,1
64.15258,-2.5889304,0
11.197562,-46.441196,3
-37.700596,-7.0180244,1
-24.400898,-46.897137,3
-113.97011,2.5885785,1
38.011948,-58.652493,3
-68.97575,-33.877377,1
-13.875669,62.992126,2
79.59185,-14.519389,0
-25.844044,8.743002,1
-68.66898,0.5953112,1
36.713467,38.855225,2
-19.915676,18.069397,2
-23.477104,76.325356,2
-113.97011,2.5885785,1
-47.94586,51.817547,2
-19.466455,-68.826454,3
-69.26308,-0.1091435,1
-36.18964,-33.358574,1
-39.516834,18.284224,1
78.66771,46.853783,0
9.494535,37.279854,2
-12.689593,-35.032284,3
-67.82635,36.434475,1
-29.239065,52.757454,2
60.701054,26.33685,0
-64.52005,3.8589497,1
36.58625,38.895992,2
-6.262334,62.403774,2
-113.97011,2.5885785,1
62.06763,44.285904,0
60.669003,47.007614,0
-60.648735,16.753235,1
18.456074,16.982126,2
14.049907,-83.38224,3
14.025099,-26.124598,3
-113.97011,2.5885785,1
-12.284625,-54.000637,3
-27.394075,54.047558,2
10.223056,-65.71699,3
17.762737,5.801633,2
-113.97011,2.5885785,1
-19.552244,9.099921,2
12.198142,-74.97599,3
7.9307528,-37.11223,3
-107.34933,-0.5385356,1
9.030922,-48.529392,3
-72.29803,-4.5409455,1
-97.964096,31.117565,1
-100.261,27.276129,1
-101.09544,26.192415,1
-72.07604,-15.566252,1
-26.542007,73.12163,2
61.742916,43.62256,0
-69.76308,0.33785582,1
-69.86758,-6.5470247,1
37.710735,37.043938,0
40.011196,50.27225,2
63.197643,11.525705,0
-75.79648,-16.703018,1
36.062283,0.12387967,0
-34.91751,-28.452955,1
32.935547,77.652626,2
39.2945,43.701256,2
-34.65289,-29.924898,1
-21.616354,21.286543,2
17.854464,78.4259,2
60.355522,30.970242,0
-33.54377,-23.425884,1
-39.606823,-9.791669,1
-35.863506,-12.709237,1
-44.477352,63.697254,2
-35.309887,-27.595295,1
-113.97011,2.5885785,1
18.038239,21.340189,2
10.865069,-77.631485,3
43.00299,4.985584,0
80.94966,-9.4004135,0
-42.31154,38.326603,2
