PC1,PC2,Cluster
-1323.8683829652398,-8.331694754597859,1
-1259.861068852443,-8.584156003576833,1
-1323.8683829652398,-8.331694754597859,1
-1321.1826719474475,-7.384927837723193,1
-696.3124166607716,-11.61135851979772,0
-1169.3292482796298,6.6325096736134,1
-1323.8683829652398,-8.331694754597859,1
-1323.8683829652398,-8.331694754597859,1
-1286.8559048085465,-8.056225324043359,1
-585.9704248045024,-20.763983750617367,0
-928.9048225769004,-14.057322806600748,1
-915.9030663180184,-1.321410866261573,1
-1043.3047092400934,-7.823046560021969,1
-1225.7893577844914,-5.253499992811316,1
-1255.861833895983,-8.662367956100312,1
397.5568058175627,-18.015186531162698,2
-1323.8683829652398,-8.331694754597859,1
-988.7311391436248,-2.8948553998766515,1
-1291.8549485041212,-7.958460383389013,1
1657.0996206446148,-47.643940866303794,2
-1187.5908836659494,-4.002030459366517,1
-1323.8488295287236,-7.3328329749574515,1
-1218.849356728257,-8.386945759994852,1
-1308.8516970690753,-7.626059585164232,1
-1323.8683829652398,-8.331694754597859,1
-1167.820004198758,-7.386426693119196,1
-123.36908836701171,3.164108918787228,0
-1247.8242573092782,-6.821077488315351,1
-1260.8217704305578,-6.566863723184814,1
265.5048096789542,9.090165112250778,0
-1288.8555222867762,-8.01711934778162,1
-1245.8441928763389,-7.859025569115145,1
-1114.2715762601692,-5.43592149930539,1
-1140.0608622571085,-2.933103736066375,1
-943.1869613299132,-2.7863155403257016,1
762.9726844121574,1.8180646330183183,2
-935.8057166077544,-8.926144307002739,1
-1007.8114990015126,-8.517177638667834,1
-1260.7631103582794,-3.570290376368769,1
-841.8041413988317,-9.765248111272363,1
2769.6421099053864,-42.42203688243575,3
-1301.833482266776,-6.764058233786458,1
-1013.4872889947362,-0.4122174122224837,1
-1289.8553307379236,-7.997550626670414,1
-1235.826551952684,-7.055688426456549,1
-701.3267709822451,0.4776529673517391,0
-1101.2567231599248,0.3050023679504914,1
-1243.8445760477289,-7.898164771282381,1
-522.9926814642679,-14.001663085513217,0
-1323.8683829652398,-8.331694754597859,1
-1323.8683829652398,-8.331694754597859,1
-1058.537342720722,-2.5289264450687483,1
-1294.854374721466,-7.899801418996404,1
-1163.8403228803916,-8.463511438369316,1
-1188.169002076808,-7.987715514638485,1
-1323.8683829652398,-8.331694754597859,1
-1323.8683829652398,-8.331694754597859,1
-148.53979808052395,10.56344188318998,0
-1219.829612126845,-7.36853623655046,1
-925.9255268841664,0.8730787934471085,1
-1154.8029370193626,-6.6417464171227065,1
-923.008165218665,-9.17644747006848,1
509.83688563076,10.562807003054798,2
-617.2493121980976,-9.160580303583458,0
-1323.8683829652398,-8.331694754597859,1
-437.292451963654,4.383328933732031,0
5672.584254645611,-52.22961651009279,3
-1323.8683829652398,-8.331694754597859,1
-421.70848995658434,-8.987742447850003,0
-1323.8683829652398,-8.331694754597859,1
-1323.8683829652398,-8.331694754597859,1
-1126.1568389730342,6.787432276812206,1
-1280.8570523738567,-8.173543252828576,1
-897.1464449770543,-9.682174822465878,1
-1188.855094746787,-8.973545892574702,1
-735.3542714666542,-4.85235093177474,1
1793.429550843297,-23.79238118634985,2
-1247.8633636950958,-8.81877612816693,1
