Dimension 1,Dimension 2,Cluster
-118.22638,20.592857,3
-61.36936,11.712335,3
-118.22638,20.592857,3
-103.07228,24.626757,3
-28.302464,-70.895584,2
-38.94094,-29.036598,2
-118.22638,20.592857,3
-118.22638,20.592857,3
-72.52726,40.21658,3
14.519806,-84.0427,2
-6.8743486,66.551704,3
-6.353915,59.87861,3
-38.220734,46.535046,3
-74.12635,-17.843828,2
-64.36402,6.8740177,3
37.124878,4.150869,1
-118.22638,20.592857,3
-36.019867,76.88075,3
-77.78724,40.958122,3
64.818665,18.293772,0
-46.696495,-41.17243,2
-117.23151,19.569298,3
-75.431335,-24.175634,2
-97.030304,33.160664,3
-118.22638,20.592857,3
-34.736668,-29.872604,2
12.809124,49.920288,0
-69.96679,-0.37406272,3
-60.722683,11.57549,3
37.91531,31.58944,0
-73.65416,40.720165,3
-71.04251,-1.4348215,3
-25.612316,1.9650139,3
-37.607506,-9.180595,2
-9.933755,72.1592,3
34.263905,-51.574135,1
-8.088936,69.31252,3
-42.106777,63.978367,3
-59.942635,10.64755,3
-7.521496,8.245336,3
89.20982,26.738726,0
-89.339745,39.313007,3
-45.67254,62.229534,3
-76.08428,40.970707,3
-73.74289,-11.03645,3
-27.44032,-65.82008,2
-23.781427,9.449105,3
-71.69956,-2.4334657,3
4.629816,-59.160946,2
-118.22638,20.592857,3
-118.22638,20.592857,3
-36.724735,35.475605,3
-79.54763,41.107445,3
-33.40117,-26.973278,2
-46.55904,-42.96787,2
-118.22638,20.592857,3
-118.22638,20.592857,3
18.26527,42.30771,0
-75.305305,-23.928083,2
-10.921799,60.39106,3
-32.730602,-20.408888,2
-6.3301334,62.53667,3
43.453705,-12.697497,1
-0.58265746,-91.809586,2
-118.22638,20.592857,3
7.7362895,-27.846395,1
102.00919,-22.948725,1
-118.22638,20.592857,3
16.825394,-30.696648,1
-118.22638,20.592857,3
-118.22638,20.592857,3
-34.996265,-1.222566,3
-66.609184,35.841713,3
-3.3031263,44.540077,3
-46.717224,-43.206577,2
-26.789587,-50.889576,2
59.36177,28.467577,0
-70.39885,-0.23373441,3
-118.22638,20.592857,3
-118.56159,19.991392,3
-25.76473,1.3999791,3
-35.69097,38.578587,3
-69.42688,38.83928,3
-17.432364,78.309845,3
-118.22638,20.592857,3
-118.22638,20.592857,3
-38.00824,-34.29955,2
-45.933365,-42.922276,2
-35.49306,78.28827,3
-27.613771,-65.38576,2
-30.591436,2.3119097,3
-118.22638,20.592857,3
-61.00406,27.948956,3
-22.963886,-79.320984,2
20.031544,-22.777122,1
-77.05415,40.944023,3
36.19058,38.581852,0
-75.28623,-24.16873,2
-62.72761,27.201628,3
-22.735182,-78.12909,2
62.461033,-15.541508,1
-10.450242,-75.623726,2
-4.0245147,50.04545,3
37.168976,-57.909374,1
-32.724392,75.41996,3
-84.51865,40.97653,3
-24.63992,4.4259095,3
-35.706715,-25.02525,2
-72.27967,-33.482643,2
80.056145,-22.647387,1
-28.102648,34.4298,3
-105.29148,-1.0836952,3
-118.56159,19.991392,3
-5.7212963,22.261345,3
13.312561,34.220768,0
-43.452087,63.950924,3
10.786522,35.750854,0
-24.741074,-44.552246,2
-73.57453,-15.984316,2
-45.53776,55.003582,3
-20.295027,21.91429,3
-46.599903,-42.987156,2
-8.25627,-13.850995,2
-67.61761,36.484394,3
-45.55185,51.43634,3
-118.22638,20.592857,3
7.8070436,60.116684,0
-21.30892,10.138377,3
59.62404,-53.378788,1
-98.047646,31.634872,3
-20.06394,6.6890297,3
-24.95281,19.302687,3
-118.22638,20.592857,3
37.498215,-42.025528,1
-12.934778,-35.445816,2
-34.63302,-28.419943,2
-45.33277,55.929523,3
-86.64493,40.322773,3
-67.06417,36.2054,3
11.546993,26.342838,0
-118.22638,20.592857,3
-37.3773,38.307053,3
-20.650402,80.80109,3
-118.22638,20.592857,3
7.0939255,-37.557037,2
5.644984,-64.60793,2
12.802761,9.03319,0
-25.15608,-43.436836,2
10.370656,57.868576,0
-43.22561,63.90914,3
8.634242,-36.9075,2
-118.56159,19.991392,3
-96.19901,34.062534,3
-27.575893,-64.10845,2
-32.027878,35.680786,3
-27.443932,-64.34639,2
-118.22638,20.592857,3
-69.928,-34.496258,2
-4.7649136,-5.0141454,2
14.984713,-26.025095,1
9.908844,57.896652,0
-2.5008264,14.003804,3
11.152527,-81.91299,2
-58.116425,-45.16571,2
-60.35887,11.242153,3
-59.380768,-41.68114,2
-10.642235,-90.27901,2
-16.66041,-84.63984,2
-4.9782376,-0.24389048,3
-6.7375784,35.658882,3
-60.986027,20.18944,3
-118.22638,20.592857,3
-2.0335634,0.43494323,3
-6.3470554,60.360462,3
-17.673304,-86.890945,2
-10.619759,57.42171,3
-33.072636,-24.802149,2
-44.742615,40.21268,3
-118.22638,20.592857,3
-118.22638,20.592857,3
-31.33043,35.550125,3
43.306686,52.887856,0
21.275288,-23.032936,1
11.554035,-45.98871,2
82.07653,44.426228,0
32.63655,-43.429234,1
62.813908,26.711988,0
-107.349014,-0.5372004,3
85.58219,9.591223,1
-18.132795,78.41615,3
-67.30607,36.073986,3
-26.015717,74.29729,3
74.88936,50.362885,0
60.9223,0.046997637,1
57.94655,29.785788,0
2.816016,-27.80627,2
45.185635,-58.096027,1
66.97697,8.459946,1
-67.041405,35.06118,3
-5.7458777,-5.2925262,2
-47.281807,-43.277004,2
-3.4683762,48.751144,3
11.787042,-82.9679,2
25.536942,71.91295,0
-29.40991,-54.981182,2
-28.261278,33.827053,3
13.362173,-85.307884,2
-20.864927,81.02571,3
-24.41671,-42.25291,2
-61.660973,29.095158,3
-23.321894,-79.20241,2
-13.831045,-25.344975,2
19.007557,-25.492037,1
-33.888073,-27.22898,2
12.829352,48.339462,0
-32.840553,-1.7409513,3
-96.81619,33.03932,3
-5.0762715,-76.72301,2
-87.65847,38.481632,3
-97.3848,32.457386,3
-33.663055,36.8748,3
64.36802,-31.439774,1
-93.62115,36.421604,3
39.305313,-2.1104376,1
-72.74543,-22.541512,2
62.011852,-54.662872,1
42.470387,-22.770678,1
14.745107,68.35974,0
61.632164,-53.482803,1
-48.797085,-41.527588,2
50.582825,-61.703724,1
-7.9905944,-14.909497,2
-6.6934857,-5.115738,2
36.491722,26.847929,0
13.082933,50.248806,0
-7.1462293,8.840228,3
23.691498,-6.3584576,1
15.118658,54.297455,0
-17.827284,71.0852,3
43.41458,53.02123,0
77.01976,47.814983,0
15.389535,-79.1447,2
-7.897831,-85.86233,2
4.743142,-56.58036,2
-5.116715,36.357456,3
18.23703,16.200296,0
62.623573,20.164196,0
62.909615,-4.067734,1
79.26088,-14.078468,1
-107.34933,-0.5385356,3
-60.05525,18.338886,3
-100.6764,26.715458,3
38.545685,42.79123,0
-76.90332,40.547417,3
64.15258,-2.5889304,1
11.197562,-46.441196,2
-37.700596,-7.0180244,3
-24.400898,-46.897137,2
-113.97011,2.5885785,3
38.011948,-58.652493,1
-68.97575,-33.877377,2
-13.875669,62.992126,3
79.59185,-14.519389,1
-25.844044,8.743002,3
-68.66898,0.5953112,3
36.713467,38.855225,0
-19.915676,18.069397,3
-23.477104,76.325356,3
-113.97011,2.5885785,3
-47.94586,51.817547,3
-19.466455,-68.826454,2
-69.26308,-0.1091435,3
-36.18964,-33.358574,2
-39.516834,18.284224,3
78.66771,46.853783,0
9.494535,37.279854,0
-12.689593,-35.032284,2
-67.82635,36.434475,3
-29.239065,52.757454,3
60.701054,26.33685,0
-64.52005,3.8589497,3
36.58625,38.895992,0
-6.262334,62.403774,3
-113.97011,2.5885785,3
62.06763,44.285904,0
60.669003,47.007614,0
-60.648735,16.753235,3
18.456074,16.982126,0
14.049907,-83.38224,2
14.025099,-26.124598,1
-113.97011,2.5885785,3
-12.284625,-54.000637,2
-27.394075,54.047558,3
10.223056,-65.71699,2
17.762737,5.801633,1
-113.97011,2.5885785,3
-19.552244,9.099921,3
12.198142,-74.97599,2
7.9307528,-37.11223,2
-107.34933,-0.5385356,3
9.030922,-48.529392,2
-72.29803,-4.5409455,3
-97.964096,31.117565,3
-100.261,27.276129,3
-101.09544,26.192415,3
-72.07604,-15.566252,2
-26.542007,73.12163,3
61.742916,43.62256,0
-69.76308,0.33785582,3
-69.86758,-6.5470247,3
37.710735,37.043938,0
40.011196,50.27225,0
63.197643,11.525705,0
-75.79648,-16.703018,2
36.062283,0.12387967,1
-34.91751,-28.452955,2
32.935547,77.652626,0
39.2945,43.701256,0
-34.65289,-29.924898,2
-21.616354,21.286543,3
17.854464,78.4259,0
60.355522,30.970242,0
-33.54377,-23.425884,2
-39.606823,-9.791669,2
-35.863506,-12.709237,2
-44.477352,63.697254,3
-35.309887,-27.595295,2
-113.97011,2.5885785,3
18.038239,21.340189,0
10.865069,-77.631485,2
43.00299,4.985584,1
80.94966,-9.4004135,1
-42.31154,38.326603,3
8.351604,66.53542,0
31.421417,78.81734,0
-61.511734,27.35081,3
-11.734875,-84.79577,2
-60.04022,9.868828,3
-113.97011,2.5885785,3
-39.87323,69.14574,3
37.570763,11.372144,0
-112.80982,2.7812297,3
-2.142164,17.90997,3
-6.4337106,60.553677,3
39.397305,-1.8827941,1
14.041331,-29.83918,1
-41.400917,38.41623,3
-26.967884,-70.86413,2
-34.444366,-4.123688,3
-17.451448,43.03378,3
35.444984,-34.57899,1
9.814339,-80.65674,2
36.84298,-39.515068,1
-105.836586,-0.95044845,3
-50.18417,69.680115,3
63.155163,1.8502183,1
-112.80982,2.7812297,3
7.482803,-56.012726,2
-35.27568,-21.630062,2
-70.82501,-2.295839,3
62.85598,-29.663397,1
-21.127234,10.759857,3
11.152173,-11.858918,1
-22.414293,10.86764,3
73.65965,51.57098,0
-58.925373,17.797058,3
-14.181902,-36.095444,2
30.06168,78.56312,0
-19.920929,19.67102,3
-30.002588,34.234283,3
86.908585,31.253696,0
-66.95698,34.71555,3
5.863632,-64.480965,2
-24.788403,19.687944,3
-2.0563083,0.55459654,3
11.641373,-70.324394,2
10.39479,49.984226,0
-98.34804,30.394005,3
-100.67272,26.720276,3
-10.383796,43.682636,3
-112.80982,2.7812297,3
62.671055,19.512724,0
-28.2126,34.843124,3
-60.793114,7.951735,3
-60.665997,18.304623,3
-22.344221,21.223463,3
-16.53331,-27.974522,2
38.22283,29.711056,0
-9.206099,72.02249,3
-15.700066,-29.464762,2
34.974182,-44.677647,1
-75.42833,-23.605425,2
40.687725,36.782772,0
-13.181299,-20.159464,2
43.893448,-6.455263,1
-113.97011,2.5885785,3
34.596394,-46.20583,1
45.705948,-10.242997,1
-20.704777,17.171984,3
9.340128,-37.300007,2
20.313831,8.521509,0
21.330475,2.3231244,1
19.110733,-12.202493,1
15.620707,-34.930187,1
-87.75654,39.85143,3
39.2397,-31.79463,1
-5.001996,-1.5925562,3
-38.852924,-28.954956,2
19.164764,-15.584183,1
-6.113651,-4.0984287,2
-41.986324,49.935238,3
-11.88456,-88.454834,2
-23.188377,-64.53394,2
-45.342033,39.87815,3
-93.243355,36.82079,3
-89.45307,39.174934,3
12.1643715,-25.166285,1
-112.80982,2.7812297,3
28.98329,78.89551,0
-38.324722,-11.043504,2
83.07789,-28.575071,1
-41.93232,49.870262,3
-107.349174,-0.5385744,3
-37.62958,-5.282196,3
22.702446,-15.187489,1
-112.80982,2.7812297,3
-6.7533154,-5.5194235,2
39.57298,39.804596,0
-43.790565,-38.37825,2
-44.753452,62.221226,3
-38.57895,-10.63294,2
-23.78598,22.493282,3
-7.5069404,-14.27133,2
-23.362957,81.85578,3
-30.319714,74.05152,3
4.7202506,-43.416527,2
37.813496,-2.4455974,1
61.549355,43.18893,0
-37.008022,35.38269,3
-15.023996,-29.526869,2
-74.01037,-14.182343,3
-37.681446,46.215008,3
37.521152,-2.5819626,1
-69.549934,-2.1931567,3
36.7436,-37.48868,1
-27.004047,-71.94842,2
-34.79893,-30.340343,2
4.1491857,-54.878727,2
