BounceRates,ExitRates,PageValues,Month,VisitorType,Revenue,total_page_view,total_page_duration,Month_Numeric,Length,Recency,Frequency,StayingRate,Cluster
0.2,0.2,0.0,Feb,Returning_Visitor,0,1,0.0,2,2,11,1,0.0,1
0.0,0.1,0.0,Feb,Returning_Visitor,0,2,64.0,2,2,11,2,0.0,1
0.2,0.2,0.0,Feb,Returning_Visitor,0,1,0.0,2,2,11,1,0.0,1
0.05,0.14,0.0,Feb,Returning_Visitor,0,2,2.666666667,2,2,11,2,0.0,1
0.02,0.05,0.0,Feb,Returning_Visitor,0,10,627.5,2,2,11,10,0.0,3
0.015789474,0.024561404,0.0,Feb,Returning_Visitor,0,19,154.2166667,2,2,11,19,0.0,1
0.2,0.2,0.0,Feb,Returning_Visitor,0,1,0.0,2,2,11,1,0.0,1
0.2,0.2,0.0,Feb,Returning_Visitor,0,1,0.0,2,2,11,1,0.0,1
0.0,0.1,0.0,Feb,Returning_Visitor,0,2,37.0,2,2,11,2,0.0,1
0.0,0.022222222,0.0,Feb,Returning_Visitor,0,3,738.0,2,2,11,3,0.0,3
0.0,0.066666667,0.0,Feb,Returning_Visitor,0,3,395.0,2,2,11,3,0.0,2
0.01875,0.025833333,0.0,Feb,Returning_Visitor,0,16,407.75,2,2,11,16,0.0,2
0.0,0.028571429,0.0,Feb,Returning_Visitor,0,7,280.5,2,2,11,7,0.0,2
0.0,0.066666667,0.0,Feb,Returning_Visitor,0,6,98.0,2,2,11,6,0.0,1
0.0,0.1,0.0,Feb,Returning_Visitor,0,2,68.0,2,2,11,2,0.0,1
0.008333333,0.016312636,0.0,Feb,Returning_Visitor,0,25,1721.285119,2,2,11,25,0.0,0
0.2,0.2,0.0,Feb,Returning_Visitor,0,1,0.0,2,2,11,1,0.0,1
0.0,0.007692308,0.0,Feb,Returning_Visitor,0,13,334.9666667,2,2,11,13,0.0,2
0.0,0.1,0.0,Feb,Returning_Visitor,0,2,32.0,2,2,11,2,0.0,1
0.0,0.01,0.0,Feb,Returning_Visitor,0,20,2981.166667,2,2,11,20,0.0,0
0.0,0.008333333,0.0,Feb,Returning_Visitor,0,8,136.1666667,2,2,11,8,0.0,1
0.2,0.2,0.0,Feb,Returning_Visitor,0,2,0.0,2,2,11,2,0.0,1
0.0,0.033333333,0.0,Feb,Returning_Visitor,0,3,105.0,2,2,11,3,0.0,1
0.0,0.1,0.0,Feb,Returning_Visitor,0,2,15.0,2,2,11,2,0.0,1
0.2,0.2,0.0,Feb,Returning_Visitor,0,1,0.0,2,2,11,1,0.0,1
0.0,0.04,0.0,Feb,Returning_Visitor,0,5,156.0,2,2,11,5,0.0,1
0.002857143,0.00952381,0.0,Feb,Returning_Visitor,0,36,1200.044444,2,2,11,36,0.0,2
0.05,0.1,0.0,Feb,Returning_Visitor,0,4,76.0,2,2,11,4,0.0,1
0.0,0.05,0.0,Feb,Returning_Visitor,0,4,63.0,2,2,11,4,0.0,1
