Dimension 1,Dimension 2
-118.22638,20.592857
-61.36936,11.712335
-118.22638,20.592857
-103.07228,24.626757
-28.302464,-70.895584
-38.94094,-29.036598
-118.22638,20.592857
-118.22638,20.592857
-72.52726,40.21658
14.519806,-84.0427
-6.8743486,66.551704
-6.353915,59.87861
-38.220734,46.535046
-74.12635,-17.843828
-64.36402,6.8740177
37.124878,4.150869
-118.22638,20.592857
-36.019867,76.88075
-77.78724,40.958122
64.818665,18.293772
-46.696495,-41.17243
-117.23151,19.569298
-75.431335,-24.175634
-97.030304,33.160664
-118.22638,20.592857
-34.736668,-29.872604
12.809124,49.920288
-69.96679,-0.37406272
-60.722683,11.57549
37.91531,31.58944
-73.65416,40.720165
-71.04251,-1.4348215
-25.612316,1.9650139
-37.607506,-9.180595
-9.933755,72.1592
34.263905,-51.574135
-8.088936,69.31252
-42.106777,63.978367
-59.942635,10.64755
-7.521496,8.245336
89.20982,26.738726
-89.339745,39.313007
-45.67254,62.229534
-76.08428,40.970707
-73.74289,-11.03645
-27.44032,-65.82008
-23.781427,9.449105
-71.69956,-2.4334657
4.629816,-59.160946
-118.22638,20.592857
-118.22638,20.592857
-36.724735,35.475605
-79.54763,41.107445
-33.40117,-26.973278
-46.55904,-42.96787
-118.22638,20.592857
-118.22638,20.592857
18.26527,42.30771
-75.305305,-23.928083
-10.921799,60.39106
-32.730602,-20.408888
-6.3301334,62.53667
43.453705,-12.697497
-0.58265746,-91.809586
-118.22638,20.592857
7.7362895,-27.846395
102.00919,-22.948725
-118.22638,20.592857
16.825394,-30.696648
-118.22638,20.592857
-118.22638,20.592857
-34.996265,-1.222566
-66.609184,35.841713
-3.3031263,44.540077
-46.717224,-43.206577
-26.789587,-50.889576
59.36177,28.467577
-70.39885,-0.23373441
-118.22638,20.592857
-118.56159,19.991392
-25.76473,1.3999791
-35.69097,38.578587
-69.42688,38.83928
-17.432364,78.309845
-118.22638,20.592857
-118.22638,20.592857
-38.00824,-34.29955
-45.933365,-42.922276
-35.49306,78.28827
-27.613771,-65.38576
-30.591436,2.3119097
-118.22638,20.592857
-61.00406,27.948956
-22.963886,-79.320984
20.031544,-22.777122
-77.05415,40.944023
36.19058,38.581852
-75.28623,-24.16873
-62.72761,27.201628
-22.735182,-78.12909
62.461033,-15.541508
-10.450242,-75.623726
-4.0245147,50.04545
37.168976,-57.909374
-32.724392,75.41996
-84.51865,40.97653
-24.63992,4.4259095
-35.706715,-25.02525
-72.27967,-33.482643
80.056145,-22.647387
-28.102648,34.4298
-105.29148,-1.0836952
-118.56159,19.991392
-5.7212963,22.261345
13.312561,34.220768
-43.452087,63.950924
10.786522,35.750854
-24.741074,-44.552246
-73.57453,-15.984316
-45.53776,55.003582
-20.295027,21.91429
-46.599903,-42.987156
-8.25627,-13.850995
-67.61761,36.484394
-45.55185,51.43634
-118.22638,20.592857
7.8070436,60.116684
